name,address
SUNSET SENIOR APTS,"710 W METZEN ST, HARVARD, IL 60033"
SWEET GUM APTS,"801 S ILLINOIS AVE, LITCHFIELD, IL 62056"
TAMMS FRONT STREET APTS,"306 FRONT ST, TAMMS, IL 62988"
THOMPSON APTS,"701 LOCUST ST, THOMSON, IL 61285"
VICTORY APTS,"2705 W EVERGREEN AVE, CHICAGO, IL 60622"
VILLAGE APTS OF DWIGHT,"508 S UNION ST, DWIGHT, IL 60420"
VILLAGE PLACE APTS,"304 COOPER DR, CAHOKIA, IL 62206"
VILLAGE SQUARE II,"1624 E MYRTLE ST, CANTON, IL 61520"
WASHINGTON COURTS APTS,"4938 W QUINCY ST, CHICAGO, IL 60644"
WEST TOWN HOUSING PROJECT,"1754 N WASHTENAW AVE, CHICAGO, IL 60647"
WHITMORE APTS,"421 S CENTRAL AVE, CHICAGO, IL 60644"
1106 MCALLISTER,"1106 MCALISTER AVE, NORTH CHICAGO, IL 60064"
1115 S 14TH,"1115 S 14TH ST, SPRINGFIELD, IL 62703"
1530-42 N KEDZIE,"1530 N KEDZIE AVE, CHICAGO, IL 60651"
1704 N HUMBOLDT BLVD,"1704 N HUMBOLDT BLVD, CHICAGO, IL 60647"
1829 MARTIN LUTHER KING,"1829 S MLK JR DR, SPRINGFIELD, IL "
1933 DICKEY AVENUE,"1933 DICKEY AVE, NORTH CHICAGO, IL 60064"
213 E 24TH ST,"213 E 24TH ST, CHICAGO HEIGHTS, IL 60411"
2601 COMMERCIAL,"2601 COMMERCIAL AVE, SOUTH CHICAGO HEIGHTS, IL 60411"
301-11 S CENTRAL PARK,"301 S CENTRAL AVE, CHICAGO, IL 60644"
309-311 YOUNG'S AVENUE,"309 YOUNGS AVE, JOLIET, IL 60432"
317 W JOHNSON ST,"317 W JOHNSON ST, COLLINSVILLE, IL 62234"
3502-08 W VAN BUREN,"3502 W VAN BUREN ST, CHICAGO, IL 60624"
4441-47 S GREENWOOD,"4441 S GREENWOOD AVE, CHICAGO, IL 60653"
4819-21 S CALUMET,"4819 S CALUMET AVE, CHICAGO, IL 60615"
6126 S WOODLAWN AVE,"6126 S WOODLAWN AVE, CHICAGO, IL 60637"
7835 S DREXEL AVE,"7835 S DREXEL AVE, CHICAGO, IL 60619"
ARCHER DUPLEX,"310 E ARCHER AVE, PEORIA, IL 61603"
ASHBERRY RETIREMENT APTS,"701 N PINE ST, NOKOMIS, IL 62075"
BOULEVARD COMMONS II,"149 N CENTRAL AVE, CHICAGO, IL 60644"
BOULEVARD COMMONS II,"1499 N CENTRAL AVE, CHICAGO, IL 60651"
BOULEVARD COMMONS IIA,"5623 W WASHINGTON BLVD, CHICAGO, IL 60644"
BOULEVARD COMMONS IIA,"151 S CENTRAL AVE, CHICAGO, IL 60644"
BOWMAN AVENUE,"208 PROSPECT PL, DANVILLE, IL 61832"
BREDE TOWERS SOUTH,"1000 S HIGH ST, BELLEVILLE, IL 62220"
BRIARWOOD APTS (WHITE HALL),"CENTENNIAL ST, WHITE HALL, IL "
CHERRY STREET APTS,"526 CHERRY ST, LEBANON, IL 62254"
CHURCHILL APTS,"1400 E ALABAMA AVE, CASEY, IL 62420"
CIRCLE GARDEN APTS,"127 N CENTRAL AVE, CHICAGO, IL 60644"
CISNE #2 APTS,"ARCHIBALD ST, CISNE, IL 62823"
CJ RENTALS,"1905 FIRST ST, PERU, IL 61354"
COLUMBUS PARK APTS,"301 S CENTRAL AVE, CHICAGO, IL 60644"
CORNERSTONE APTS,"477 S HEINLEIN DR, SHELBYVILLE, IL 62565"
COUNTRY PLACE APTS (ARGENTA),"244 W PRAIRIE ST, ARGENTA, IL 62501"
COUNTRY PLACE APTS (MORRIS),"400 TWILIGHT DR, MORRIS, IL 60450"
COUNTRY PLACE APTS (OTTAWA),"701 W MCKINLEY RD, OTTAWA, IL 61350"
D'ADRIAN MEADOWS APTS,"1234 PREIS LN, GODFREY, IL 62035"
DD APTS,"2810 WILLS ST, ELDORADO, IL 62930"
DEVONDALE APTS II,"ROUTE 1, METROPOLIS, IL "
ELDORADO PROPERTIES III,"900 VETERANS DR, ELDORADO, IL 62930"
ELMS,"405 W DIVISION ST, FINDLAY, IL 62534"
ENTRE NOUS,"1700 W JUNEWAY TER, CHICAGO, IL 60626"
HEARTHSTONE PARTNERS II,"1018 N RIDGEWAY AVE, CHICAGO, IL 60651"
HIGH POINT APTS (WARREN),"739 W WASHINGTON ST, WARREN, IL 61087"
HIGHLAND SQUARE,"210 HIGH LINE ST, BELVIDERE, IL 61008"
HILLCREST APTS,"300 N DIANNE LN, MAHOMET, IL 61853"
6933-35 S INDIANA,"6933 S INDIANA AVE, CHICAGO, IL 60637"
913 N 7TH STREET,"913 N SEVENTH ST, SPRINGFIELD, IL 62702"
AFRICAN VILLAGE,"400 S LARAMIE AVE, CHICAGO, IL 60644"
ANCHOR HOUSING I,"504 S THIRD ST, ROCKFORD, IL 61104"
ANCHOR HOUSING II,"304 N INDEPENDENCE AVE, ROCKFORD, IL 61101"
ASHTON HOUSING LP,"466 WESTERN AVE, ASHTON, IL 61006"
D'ADRIAN MEADOWS APTS II,"1234 PREIS LN, GODFREY, IL 62035"
DOUBLETREE APTS,"1000 W TYLER AVE, LITCHFIELD, IL 62056"
EDGEWATER SHORES APTS,"5326 N WINTHROP AVE, CHICAGO, IL 60640"
HEARTLAND VILLAGE OF ROBINSON,"502 W HIGHSMITH ST, ROBINSON, IL 62454"
HEYWORTH APTS,"307 WIGWAM, HEYWORTH, IL 61745"
LAKESIDE SQUARE APTS,"920 W LAKESIDE PL, CHICAGO, IL 60640"
JD RENTALS,"1911 FIRST ST, PERU, IL 61354"
LINCOLN VILLAGE APTS,"1000 N COLLEGE ST, LINCOLN, IL 62656"
MARTIN LAMPLIGHTER (CENTRALIA),"104 FAIRWAY DR, CENTRALIA, IL 62801"
MARTIN LAMPLIGHTER (MARSHALL),"1303 MAPLE ST, MARSHALL, IL 62441"
MARTIN LAMPLIGHTER (MC LEAN),"710 S HANCOCK ST, MC LEANSBORO, IL 62859"
MARTIN LAMPLIGHTER (MT VERNON),"902 SALEM RD, MT VERNON, IL "
MARTIN LAMPLIGHTER (PARIS),"526 NE BAYARD ST, PARIS, IL 61944"
MARTIN LAMPLIGHTER (WINDSOR),"1516 MAINE ST, WINDSOR, IL 61957"
MICHIGAN BEACH APTS,"7251 S STH SHR DR, CHICAGO, IL 60649"
MIDTOWN APTS,"402 S UNION ST, STAUNTON, IL 62088"
MILLER BRIGHTON APTS,"303 BROWN ST, BRIGHTON, IL "
MILLER CARYLE APTS,"2110 W LAKE DR, MILLER CITY, IL "
N&M LUNT WOLCOTT,"7001 N WOLCOTT AVE, CHICAGO, IL 60626"
NAPER GROVE COMM (DOWNERS GROVE),"1872 BRIGHTON ST, DOWNERS GROVE, IL 60516"
SOUTH SHORE APTS,"7456 S STH SHR DR, CHICAGO, IL 60649"
SOUTH SHORE MANOR,"2358 E 70TH PL, CHICAGO, IL 60649"
SPENCER HOUSE,"1 BRIARWOOD DR, DANVERS, IL 61732"
ST FRANCIS ESTATES,"3737 N MARYBELLE AVE, PEORIA, IL 61615"
SUNNYSIDE UPTOWN APTS,"847 W SUNNYSIDE AVE, CHICAGO, IL 60640"
SUNNYVIEW B & E,"421 E WILLARD ST, WATAGA, IL 61488"
VARYLIN TERRACE APTS,"15144 DIXIE HWY, HARVEY, IL 60426"
VILLA RIDGE APTS II,"600 N CLARENCE AVE, WATSEKA, IL 60970"
VILLAGE APTS OF RIVERTON,"1007 E LINCOLN ST, RIVERTON, IL 62561"
VILLAGE APTSOF CLINTON II,"1610 E MAIN ST, CLINTON, IL 61727"
VILLAGE SQUARE ELDERLY III,"1628 E MYRTLE ST, CANTON, IL 61520"
WILLOWBROOK APTS,"441 N DOUGLAS ST, GILMAN, IL 60938"
WILMINGTON RIVERVIEW APTS II,"142 S FIRST ST, WILMINGTON, IL 60481"
WINTHROP TERRACE APTS,"5734 N WINTHROP AVE, CHICAGO, IL 60660"
WOODVIEW APTS I,"6TH ST, GLASFORD, IL "
WOODVIEW APTS II,"6TH ST, GLASFORD, IL "
4915 S DREXEL APTS,"4915 S DREXEL BLVD, CHICAGO, IL 60615"
5530 N WINTHROP,"5530 N WINTHROP AVE, CHICAGO, IL 60640"
NAPER GROVE COMM (NAPERVILLE),"1200 RHODES LN, NAPERVILLE, IL 60540"
PANKEY ROAD APTS,"110 PANKEY RD, CARRIER MILLS, IL 62917"
PARKWAY MANOR,"504 E HENDELMEYER AVE, EFFINGHAM, IL 62401"
R&R RENTALS,"1020 PLAIN ST, PERU, IL 61354"
ROCHELLE MANOR APTS,"965 S CARON RD, ROCHELLE, IL 61068"
SANDERS APTS,"4201 22ND AVE, MOLINE, IL 61265"
SENIOR CITIZENS HOUSING,"944 CARLA DR, TROY, IL 62294"
